Taget:	Current:	Delta:	PWM:	pp:	ip:	dp:	Time: 			Initial	tcGoal	rtLow	rtHigh		kp	Ki	kd
50	53	-3	64,965	-3	67,965	0	102,564										
50	53	-3	64,865	-3	67,865	0	102,897										
50	53	-3	64,765	-3	67,765	0	103,23										
50	53	-3	64,666	-3	67,666	0	103,563										
50	53	-3	64,566	-3	67,566	0	103,896										
50	53	-3	64,466	-3	67,466	0	104,229										
50	53	-3	64,366	-3	67,366	0	104,562										
50	53	-3	64,266	-3	67,266	0	104,895										
50	53,5	-3,5	63,649	-3,5	67,149	0	105,228										
50	53	-3	64,049	-3	67,049	0	105,561										
50	53	-3	63,95	-3	66,95	0	105,894										
50	53,5	-3,5	63,333	-3,5	66,833	0	106,227										
50	53,5	-3,5	63,216	-3,5	66,716	0	106,56										
50	53,5	-3,5	63,1	-3,5	66,6	0	106,893										
50	53,5	-3,5	62,983	-3,5	66,483	0	107,226										
50	53,5	-3,5	62,867	-3,5	66,367	0	107,559										
50	53,5	-3,5	62,75	-3,5	66,25	0	107,892										
50	53,5	-3,5	62,634	-3,5	66,134	0	108,225										
50	53,5	-3,5	62,517	-3,5	66,017	0	108,558										
50	53,5	-3,5	62,401	-3,5	65,901	0	108,891										
50	53,5	-3,5	62,284	-3,5	65,784	0	109,224										
50	53,5	-3,5	62,167	-3,5	65,667	0	109,557										
50	53,5	-3,5	62,051	-3,5	65,551	0	109,89										
50	53,5	-3,5	61,934	-3,5	65,434	0	110,223										
50	53,5	-3,5	61,818	-3,5	65,318	0	110,556										
50	53,5	-3,5	61,701	-3,5	65,201	0	110,889										
50	53,5	-3,5	61,585	-3,5	65,085	0	111,222										
50	53,5	-3,5	61,468	-3,5	64,968	0	111,555										
50	53,5	-3,5	61,352	-3,5	64,852	0	111,888										
50	53,5	-3,5	61,235	-3,5	64,735	0	112,221										
50	53,5	-3,5	61,119	-3,5	64,619	0	112,554										
50	53,5	-3,5	61,002	-3,5	64,502	0	112,887										
50	53,5	-3,5	60,885	-3,5	64,385	0	113,22										
50	53,5	-3,5	60,769	-3,5	64,269	0	113,553										
50	53,5	-3,5	60,652	-3,5	64,152	0	113,886										
50	53,5	-3,5	60,536	-3,5	64,036	0	114,219										
50	53,5	-3,5	60,419	-3,5	63,919	0	114,552										
50	53,5	-3,5	60,303	-3,5	63,803	0	114,885										
50	53,5	-3,5	60,186	-3,5	63,686	0	115,218										
50	53,5	-3,5	60,07	-3,5	63,57	0	115,551										
50	53,5	-3,5	59,953	-3,5	63,453	0	115,884										
50	53,5	-3,5	59,836	-3,5	63,336	0	116,217										
50	53,5	-3,5	59,72	-3,5	63,22	0	116,55										
50	53,5	-3,5	59,603	-3,5	63,103	0	116,883										
50	53,5	-3,5	59,487	-3,5	62,987	0	117,216										
50	53,5	-3,5	59,37	-3,5	62,87	0	117,549										
50	53,5	-3,5	59,254	-3,5	62,754	0	117,882										
50	53	-3	59,654	-3	62,654	0	118,215										
50	53,5	-3,5	59,037	-3,5	62,537	0	118,548										
50	53	-3	59,437	-3	62,437	0	118,881										
50	53,5	-3,5	58,821	-3,5	62,321	0	119,214										
50	53,5	-3,5	58,704	-3,5	62,204	0	119,547										
50	53,5	-3,5	58,588	-3,5	62,088	0	119,88										
50	53	-3	58,988	-3	61,988	0	120,213										
50	53	-3	58,888	-3	61,888	0	120,546										
50	53	-3	58,788	-3	61,788	0	120,879										
50	53,5	-3,5	58,171	-3,5	61,671	0	121,212										
50	53,5	-3,5	58,055	-3,5	61,555	0	121,545										
50	53	-3	58,455	-3	61,455	0	121,878										
50	53	-3	58,355	-3	61,355	0	122,211										
50	53,5	-3,5	57,738	-3,5	61,238	0	122,544										
50	53	-3	58,139	-3	61,139	0	122,877										
50	53	-3	58,039	-3	61,039	0	123,21										
50	53,5	-3,5	57,422	-3,5	60,922	0	123,543										
50	53	-3	57,822	-3	60,822	0	123,876										
50	53	-3	57,722	-3	60,722	0	124,209										
50	53	-3	57,622	-3	60,622	0	124,542										
50	53	-3	57,523	-3	60,523	0	124,875										
50	53	-3	57,423	-3	60,423	0	125,208										
50	53,5	-3,5	56,806	-3,5	60,306	0	125,541										
50	53	-3	57,206	-3	60,206	0	125,874										
50	53	-3	57,106	-3	60,106	0	126,207										
50	53	-3	57,006	-3	60,006	0	126,54										
50	53	-3	56,906	-3	59,906	0	126,873										
50	53	-3	56,807	-3	59,807	0	127,206										
50	53	-3	56,707	-3	59,707	0	127,539										
50	53	-3	56,607	-3	59,607	0	127,872										
50	53	-3	56,507	-3	59,507	0	128,205										
50	53	-3	56,407	-3	59,407	0	128,538										
50	53	-3	56,307	-3	59,307	0	128,871										
50	53	-3	56,207	-3	59,207	0	129,204										
50	53	-3	56,107	-3	59,107	0	129,537										
50	53	-3	56,007	-3	59,007	0	129,87										
50	53	-3	55,907	-3	58,907	0	130,203										
50	53	-3	55,808	-3	58,808	0	130,536										
50	53	-3	55,708	-3	58,708	0	130,869										
50	53	-3	55,608	-3	58,608	0	131,202										
50	53	-3	55,508	-3	58,508	0	131,535										
50	53	-3	55,408	-3	58,408	0	131,868										
50	53	-3	55,308	-3	58,308	0	132,201										
50	53	-3	55,208	-3	58,208	0	132,534										
50	53	-3	55,108	-3	58,108	0	132,867										
50	53	-3	55,008	-3	58,008	0	133,2										
50	53	-3	54,908	-3	57,908	0	133,533										
50	53	-3	54,809	-3	57,809	0	133,866										
50	53	-3	54,709	-3	57,709	0	134,199										
50	53	-3	54,609	-3	57,609	0	134,532										
50	53	-3	54,509	-3	57,509	0	134,865										
50	53	-3	54,409	-3	57,409	0	135,198										
50	53	-3	54,309	-3	57,309	0	135,531										
50	53	-3	54,209	-3	57,209	0	135,864										
50	53	-3	54,109	-3	57,109	0	136,197										
50	53	-3	54,009	-3	57,009	0	136,53										
50	53	-3	53,909	-3	56,909	0	136,863										
50	53	-3	53,809	-3	56,809	0	137,196										
