Taget:;Current:;Delta:;PWM:;pp:;ip:;dp:
50,0;51,5;-1,5;58,172;-3,000;61,172;0,000
50,0;51,5;-1,5;58,122;-3,000;61,122;0,000
50,0;51,5;-1,5;58,072;-3,000;61,072;0,000
50,0;51,5;-1,5;58,022;-3,000;61,022;0,000
50,0;51,5;-1,5;57,972;-3,000;60,972;0,000
50,0;51,5;-1,5;57,922;-3,000;60,922;0,000
50,0;51,5;-1,5;57,872;-3,000;60,872;0,000
50,0;51,5;-1,5;57,822;-3,000;60,822;0,000
50,0;51,5;-1,5;57,772;-3,000;60,772;0,000
50,0;51,5;-1,5;57,722;-3,000;60,722;0,000
50,0;51,5;-1,5;57,673;-3,000;60,673;0,000
50,0;51,5;-1,5;57,623;-3,000;60,623;0,000
50,0;51,5;-1,5;57,573;-3,000;60,573;0,000
50,0;51,5;-1,5;57,523;-3,000;60,523;0,000
50,0;51,5;-1,5;57,473;-3,000;60,473;0,000
50,0;51,5;-1,5;57,423;-3,000;60,423;0,000
50,0;51,5;-1,5;57,373;-3,000;60,373;0,000
50,0;51,5;-1,5;57,323;-3,000;60,323;0,000
50,0;51,5;-1,5;57,273;-3,000;60,273;0,000
50,0;52,0;-2,0;56,056;-4,000;60,206;-0,150
50,0;51,5;-1,5;57,307;-3,000;60,156;0,150
50,0;52,0;-2,0;55,940;-4,000;60,090;-0,150
50,0;52,0;-2,0;56,023;-4,000;60,023;0,000
50,0;52,0;-2,0;55,957;-4,000;59,957;0,000
50,0;52,0;-2,0;55,890;-4,000;59,890;0,000
50,0;52,0;-2,0;55,823;-4,000;59,823;0,000
50,0;52,0;-2,0;55,757;-4,000;59,757;0,000
50,0;52,0;-2,0;55,690;-4,000;59,690;0,000
50,0;52,0;-2,0;55,624;-4,000;59,624;0,000
50,0;51,5;-1,5;56,724;-3,000;59,574;0,150
50,0;52,0;-2,0;55,357;-4,000;59,507;-0,150
50,0;52,0;-2,0;55,440;-4,000;59,440;0,000
50,0;52,0;-2,0;55,374;-4,000;59,374;0,000
50,0;52,0;-2,0;55,307;-4,000;59,307;0,000
50,0;52,0;-2,0;55,241;-4,000;59,241;0,000
50,0;52,0;-2,0;55,174;-4,000;59,174;0,000
50,0;52,0;-2,0;55,107;-4,000;59,107;0,000
50,0;52,0;-2,0;55,041;-4,000;59,041;0,000
50,0;52,0;-2,0;54,974;-4,000;58,974;0,000
50,0;52,0;-2,0;54,908;-4,000;58,908;0,000
50,0;52,0;-2,0;54,841;-4,000;58,841;0,000
50,0;52,0;-2,0;54,774;-4,000;58,774;0,000
50,0;52,0;-2,0;54,708;-4,000;58,708;0,000
50,0;52,0;-2,0;54,641;-4,000;58,641;0,000
50,0;52,0;-2,0;54,575;-4,000;58,575;0,000
50,0;52,0;-2,0;54,508;-4,000;58,508;0,000
50,0;52,0;-2,0;54,441;-4,000;58,441;0,000
50,0;52,0;-2,0;54,375;-4,000;58,375;0,000
50,0;52,0;-2,0;54,308;-4,000;58,308;0,000
50,0;52,0;-2,0;54,242;-4,000;58,242;0,000
50,0;52,0;-2,0;54,175;-4,000;58,175;0,000
50,0;52,0;-2,0;54,108;-4,000;58,108;0,000
50,0;52,0;-2,0;54,042;-4,000;58,042;0,000
50,0;52,0;-2,0;53,975;-4,000;57,975;0,000
50,0;52,0;-2,0;53,909;-4,000;57,909;0,000
50,0;52,0;-2,0;53,842;-4,000;57,842;0,000
50,0;52,0;-2,0;53,775;-4,000;57,775;0,000
50,0;52,0;-2,0;53,709;-4,000;57,709;0,000
50,0;52,0;-2,0;53,642;-4,000;57,642;0,000
50,0;52,0;-2,0;53,576;-4,000;57,576;0,000
50,0;52,0;-2,0;53,509;-4,000;57,509;0,000
50,0;52,0;-2,0;53,442;-4,000;57,442;0,000
50,0;51,5;-1,5;54,543;-3,000;57,392;0,150
50,0;52,0;-2,0;53,176;-4,000;57,326;-0,150
50,0;52,0;-2,0;53,259;-4,000;57,259;0,000
50,0;52,0;-2,0;53,193;-4,000;57,193;0,000
50,0;52,0;-2,0;53,126;-4,000;57,126;0,000
50,0;52,0;-2,0;53,059;-4,000;57,059;0,000
50,0;52,0;-2,0;52,993;-4,000;56,993;0,000
50,0;52,0;-2,0;52,926;-4,000;56,926;0,000
